Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-430.9426	-511.3146	80.37196	1.381708	3.207908	2.436822
6	-433.625	-514.2438	80.61873	0.9589406	2.536145	2.729873
12	-429.4271	-509.4227	79.99559	0.8505459	3.468015	2.932436
18	-427.3744	-507.1123	79.73789	0.8874201	2.832813	3.219609
24	-421.2523	-503.129	81.87664	1.271172	1.662414	2.051018
30	-427.729	-509.0661	81.33719	1.502048	2.772556	1.848808
36	-423.7554	-505.6473	81.89193	1.597696	1.991058	1.675225
42	-423.0745	-504.2993	81.22476	1.034491	2.278047	2.38751
48	-425.6306	-507.1874	81.55685	1.030643	1.891843	2.318591
54	-432.9272	-514.315	81.38778	1.034618	2.176734	2.318591
60	-431.6488	-512.1725	80.52369	1.116396	4.338588	2.253957
66	-436.0049	-516.5233	80.51836	1.539287	3.167731	2.253957
72	-428.0758	-508.7074	80.63162	1.466924	3.097406	2.24622
78	-435.2142	-516.349	81.13475	1.360956	1.526451	2.529549
84	-430.5036	-511.6481	81.14455	1.354969	3.077451	1.989091
90	-438.7953	-521.4776	82.6823	2.002324	1.560694	0.9135852
96	-434.057	-516.3577	82.30065	1.717663	2.368512	1.094373
102	-434.2983	-516.0473	81.74896	1.179211	3.382372	1.607057
108	-435.4833	-517.1337	81.65042	1.756574	2.310957	1.607057
114	-434.906	-516.7659	81.85989	1.475024	1.678126	1.918853
120	-433.8264	-515.431	81.60461	1.237018	1.643982	2.258589
126	-433.051	-513.7833	80.73229	1.428866	2.690806	2.320107
132	-432.0211	-512.9347	80.91362	1.18013	2.817847	2.326219
138	-427.964	-508.6059	80.64186	1.36174	2.080304	2.615095
144	-425.5412	-508.1926	82.65142	1.760071	1.991142	0.9080792
150	-434.5251	-516.6446	82.11949	1.342849	2.940236	1.33882
156	-428.6104	-509.982	81.3716	1.40374	1.757286	2.252678
162	-428.4737	-509.7865	81.3128	1.322347	1.983839	2.252678
168	-437.7745	-517.7943	80.01984	1.063222	4.193518	2.63344
