Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-433.6127	-514.9533	81.34064	0.0372512	0.035593	0.0169625	0.105881	0.0220348	4.3078e-05	0.0603088	0.0120569	0.00742749	0.0209777	0.00122986	0.0636611	0.0436593	0.0254324	0.019874	0.0203648	0.00672023	0.013679	0.00348406	0.00674238	0.0206293	0.0164278	0.0503162	0.0400021	0.0538134	0.00473908	0.0635389	0.0253194	0.0155636	0.0803188	0.0131487	0.00850257	0.0817367	0.0258738	0.00548999	0.00211494	0.0313083	0.0578498	0.00725282	0.0174049	0.178213	0.0557595	0.0765876	0.0127637	0.0414778	0.000484006	0.0514697	0.0121366	0.025438	0.0337297	0.0172899	0.011375	0.0031668	0.00561971	0.0269833	0.0452455	0.0433338	0.4784192	1.521581	0.141226	0.384956	0.742431	1.34693	2.5977	7.08084	1.415329	3.180434	0.0208596	0.0199311	0.0094985	0.0592902	0.0123389	2.41224e-05	0.0337712	0.00675149	0.00415918	0.0117469	0.000688684	0.0356484	0.0244479	0.0142414	0.0111288	0.0114037	0.00376313	0.00765987	0.00195097	0.00377553	0.0115518	0.00919909	0.0281756	0.0224	0.0301339	0.00265375	0.0355799	0.0141781	0.00871515	0.0449762	0.0073629	0.00476119	0.0457702	0.0144885	0.00307423	0.00118431	0.0175317	0.0323942	0.00406137	0.00974625	0.0997938	0.0312237	0.0428868	0.00714732	0.0232264	0.000271029	0.0288215	0.00679616	0.0142445	0.0188876	0.00968183	0.00636964	0.00177332	0.00314687	0.0151098	0.0253362	0.0242657	0.76079	0.23921	1.785808
36	-430.2675	-511.8488	81.58124	0.00281852	0.00316614	0.00227423	0.024125	0.0304048	0.000764793	0.0208619	0.0652104	0.00345129	0.00239651	0.0233576	0.00837507	0.0270384	0.0261041	0.00876705	0.0353058	0.0106882	0.0117702	0.00909842	0.0169759	0.00309027	0.0454001	0.0266942	0.0296353	0.0348009	0.0224717	0.0634801	0.0153386	0.000250624	0.0312231	0.014554	0.0653407	0.0476854	0.000952962	0.00142793	0.0388229	0.0233585	0.133436	0.0447693	0.0153933	0.0412758	0.0419688	0.00376726	0.0147904	0.0609945	0.0338721	0.00796432	0.0146295	0.0278017	0.00695521	0.0123952	0.0350444	0.0157287	0.00257713	0.0354087	0.0505352	0.0205297	0.4885974	1.511403	0.0931407	0.314229	0.696868	1.43499	3.18239	10.7364	1.716308	3.09335	0.00198862	0.0022339	0.0016046	0.0170215	0.0214523	0.000539605	0.0147193	0.0460097	0.00243508	0.00169087	0.0164801	0.0059091	0.0190771	0.018418	0.00618566	0.0249103	0.00754116	0.00830452	0.00641946	0.0119775	0.00218036	0.0320324	0.0188343	0.0209094	0.0245541	0.0158551	0.0447889	0.0108223	0.000176829	0.0220297	0.0102687	0.0461016	0.0336448	0.000672369	0.00100748	0.0273918	0.0164808	0.0941468	0.0315873	0.0108609	0.0291224	0.0296114	0.00265802	0.0104355	0.0430351	0.0238987	0.00561928	0.010322	0.0196157	0.0049073	0.00874555	0.0247259	0.0110975	0.00181831	0.0249829	0.0356555	0.0144849	0.755701	0.244299	1.417319
72	-424.3748	-506.2064	81.83163	0.0212246	0.0218341	0.0153217	0.0230572	0.00210037	0.000653064	0.0151601	0.0567966	5.05377e-05	0.0394848	0.00347016	0.0365941	0.0591494	0.0230501	0.0298546	0.000504529	0.00608428	0.0252711	0.0167587	0.0181195	0.00210088	0.0532348	0.0410407	0.0144588	0.0176613	0.0221389	0.160744	0.0121437	0.00102517	0.0136108	0.0260546	0.0142956	0.109684	0.0281052	0.000185739	0.0163153	0.0149163	0.107783	0.0337309	0.0734594	0.00979485	0.0189215	0.0563713	0.0935368	0.0212109	0.0402283	0.0148068	0.0292738	0.0507218	0.00550814	0.0133037	0.0198158	0.00208998	0.0653692	0.00811936	0.0595968	0.0177404	0.6646683	1.335332	0.108274	0.338169	0.713015	1.4025	2.9571	9.23587	1.60745	2.00902	0.0124584	0.0128162	0.00899353	0.0135341	0.00123288	0.000383335	0.00889867	0.0333384	2.96646e-05	0.0231768	0.00203691	0.02148	0.0347195	0.0135299	0.017524	0.000296148	0.00357135	0.0148336	0.00983698	0.0106358	0.00123317	0.0312477	0.02409	0.00848703	0.0103668	0.0129951	0.0943536	0.00712812	0.000601751	0.00798923	0.0152935	0.00839122	0.0643821	0.0164972	0.000109025	0.00957672	0.00875555	0.0632662	0.0197993	0.0431191	0.00574937	0.0111065	0.0330888	0.0549042	0.0124503	0.0236132	0.0086913	0.0171831	0.0297727	0.00323316	0.00780898	0.0116315	0.00122677	0.0383703	0.00476589	0.0349821	0.0104133	0.667666	0.332334	1.703638
108	-427.496	-510.29	82.79394	0.019756	0.00120896	0.00383975	0.0337798	0.00538396	0.00254724	0.0252863	0.028918	0.000474905	0.025777	0.00165885	0.0339773	0.0374766	0.0062593	0.0224612	0.0191284	2.88312e-05	0.0117981	0.0155393	0.00750469	0.00126771	0.028609	0.0127692	0.0615909	0.0214788	0.0193054	0.0280322	0.00334955	0.01758	0.0227502	0.0139682	0.000265115	0.0278809	0.0208112	0.000497358	0.0587862	0.00592799	0.0500068	0.0268644	0.00670115	0.00713359	0.0246981	0.0110937	0.0242817	0.00914416	0.0196635	0.0349325	0.00513017	0.0171131	0.0136722	0.0123922	0.00658305	0.0044399	0.00273935	0.0443835	0.0131737	0.0125599	0.825791	1.174209	0.0706407	0.274588	0.668157	1.49665	3.64182	14.1562	1.91624	1.42192	0.0198676	0.00121579	0.00386145	0.0339706	0.00541438	0.00256164	0.0254292	0.0290814	0.000477589	0.0259227	0.00166822	0.0341693	0.0376884	0.00629467	0.0225882	0.0192365	2.89941e-05	0.0118648	0.0156271	0.0075471	0.00127487	0.0287706	0.0128413	0.061939	0.0216002	0.0194145	0.0281906	0.00336848	0.0176793	0.0228787	0.0140471	0.000266613	0.0280384	0.0209288	0.000500168	0.0591184	0.00596149	0.0502894	0.0270162	0.00673901	0.0071739	0.0248377	0.0111563	0.0244189	0.00919583	0.0197746	0.0351299	0.00515916	0.0172098	0.0137495	0.0124622	0.00662025	0.00446499	0.00275483	0.0446343	0.0132481	0.0126309	0.587104	0.412896	0.9943809
144	-429.7156	-511.8781	82.16249	0.0107382	0.00273544	0.00220021	0.05188	0.00221106	0.00042924	0.0165044	0.0249641	0.00023786	0.0131578	0.00399898	0.0330828	0.0156696	0.0144823	0.00172505	0.00225105	6.40367e-06	0.00867068	0.00277706	0.0213519	0.000983407	0.0407289	0.02257	0.0116827	0.012816	0.00996785	0.0541177	0.0115771	0.0251635	0.00948705	0.000654294	0.0200041	0.0299124	0.0177342	0.0231929	0.0238594	0.00619927	0.0357923	0.0127155	0.000591343	0.00718719	0.00473374	0.0159447	0.00587407	0.0133835	0.00164384	0.0136231	0.00588141	0.013535	0.0241648	0.0036989	0.0125687	0.00888867	0.00587988	0.0245423	0.0234285	0.0239135	0.6136073	1.386393	0.0488834	0.229457	0.631757	1.58289	4.35812	20.4569	2.182452	2.259414	0.0132945	0.00338664	0.00272399	0.0642305	0.00273742	0.000531425	0.0204334	0.030907	0.000294485	0.0162901	0.00495097	0.0409585	0.0193999	0.01793	0.00213572	0.00278694	7.92812e-06	0.0107348	0.00343817	0.026435	0.00121752	0.0504248	0.027943	0.0144639	0.0158669	0.0123408	0.0670009	0.0143331	0.0311539	0.0117455	0.000810055	0.0247663	0.0370333	0.0219561	0.0287141	0.0295393	0.00767506	0.0443129	0.0157426	0.000732118	0.00889817	0.00586065	0.0197405	0.00727245	0.0165696	0.00203517	0.0168662	0.00728153	0.0167572	0.0299175	0.00457945	0.0155608	0.0110047	0.00727964	0.0303848	0.0290058	0.0296063	0.693196	0.306804	0.8077158
180	-436.2108	-517.141	80.93013	0.0111277	0.00879821	0.0174292	0.0664277	0.0181255	0.00422658	0.065392	0.0450315	0.00543091	0.0135401	0.00609612	0.0629215	0.0467577	0.0622455	0.0186464	0.007431	0.00102333	0.0143764	0.0440575	0.0376517	0.0104948	0.0447787	0.070603	0.083801	0.0347059	0.0265141	0.0486423	0.0159093	0.0372442	0.0453779	0.00722993	0.0286574	0.0606952	0.00182773	0.0568004	0.0143575	0.0219173	0.116483	0.0314186	0.00295188	0.0081742	0.0085208	0.0491411	0.0253074	0.0015397	0.0225882	0.0359241	0.0805177	0.0272853	0.0124991	0.0210598	0.0224305	0.0133829	0.0151538	0.100775	0.159684	0.049345	0.5330082	1.466992	0.0903004	0.309519	0.693591	1.44177	3.23082	11.0742	1.738701	2.752287	0.00564723	0.00446502	0.00884516	0.0337115	0.00919854	0.00214495	0.0331859	0.0228531	0.00275614	0.00687149	0.00309373	0.0319321	0.0237291	0.0315891	0.00946289	0.00377117	0.000519332	0.00729589	0.0223588	0.0191079	0.005326	0.0227248	0.0358304	0.0425283	0.0176129	0.0134557	0.0246856	0.00807385	0.0189011	0.0230289	0.00366913	0.0145434	0.0308023	0.000927557	0.0288257	0.00728632	0.0111228	0.0591144	0.0159447	0.00149805	0.00414834	0.00432423	0.0249387	0.0128433	0.000781386	0.0114633	0.0182312	0.0408621	0.0138471	0.0063432	0.0106877	0.0113833	0.00679173	0.00769043	0.0511427	0.0810384	0.0250422	0.733496	0.266504	1.970476
216	-432.0149	-513.0695	81.0546	0.00371591	0.0159249	0.0242733	0.0892232	0.00172501	0.00433312	0.0188755	0.0172286	0.0103678	0.0195322	0.0151177	0.0870842	0.10164	0.0251847	0.0512314	0.00701805	0.0244645	0.0329556	0.0138203	0.0299777	0.00772388	0.049935	0.0744172	0.100677	0.0626836	0.0305399	0.252825	0.0370203	0.0347239	0.0125456	0.0113416	0.017815	0.087388	0.0102369	0.0141358	0.00520102	0.0111789	0.261806	0.00661568	0.00919032	0.013727	0.0102293	0.0130133	0.0127463	0.00304865	0.045234	0.0482519	0.105475	0.0347692	0.00658124	0.0302726	0.0188225	0.00179599	0.0895026	0.178609	0.119506	0.00582423	0.7624572	1.237543	0.119995	0.355554	0.724254	1.38073	2.81252	8.3337	1.533129	1.623098	0.00152975	0.00655589	0.00999269	0.0367309	0.000710144	0.00178384	0.00777055	0.00709259	0.00426816	0.0080409	0.00622358	0.0358503	0.0418425	0.0103679	0.0210907	0.00288915	0.0100714	0.013567	0.00568945	0.012341	0.00317972	0.020557	0.0306357	0.0414463	0.0258053	0.0125725	0.104082	0.0152403	0.014295	0.0051647	0.00466904	0.007334	0.0359754	0.00421428	0.00581935	0.00214113	0.00460208	0.107779	0.00272351	0.00378342	0.00565107	0.00421113	0.00535724	0.00524731	0.00125505	0.0186217	0.0198641	0.0434212	0.0143136	0.00270933	0.0124624	0.00774875	0.000739365	0.0368459	0.0735289	0.0491977	0.00239769	0.618771	0.381229	2.429104
252	-433.9629	-514.8818	80.91891	0.0219847	0.0111277	0.0278418	0.108307	0.0112423	0.00725908	0.0402948	0.00762763	0.0310129	0.0165134	0.0012885	0.045615	0.0300661	0.0461521	0.0350027	0.00855897	0.0184986	0.0287339	0.0256198	0.031362	0.00118046	0.0481318	0.024612	0.0565281	0.0378968	0.0292009	0.273231	0.0170245	0.023067	0.0778531	0.0238396	0.0108466	0.0643889	0.0731319	0.0639478	0.00252993	0.0375517	0.123718	0.0321772	0.0114468	0.0114098	0.062087	0.0155617	0.0611548	0.00879414	0.0534175	0.0133408	0.00193103	0.119552	0.0407714	0.158228	0.013338	0.0985769	0.00542793	0.117662	0.0302717	0.0062443	0.5384672	1.461533	0.218772	0.476554	0.793555	1.26015	2.0984	4.57098	1.098867	2.714247	0.00914436	0.00462846	0.0115806	0.0450494	0.00467615	0.00301935	0.0167603	0.00317265	0.0128996	0.00686861	0.000535943	0.0189732	0.0125058	0.0191966	0.0145591	0.00356003	0.00769436	0.0119516	0.0106564	0.0130448	0.000491001	0.02002	0.0102372	0.0235124	0.0157629	0.0121459	0.113648	0.00708119	0.00959451	0.0323824	0.0099159	0.00451156	0.0267821	0.0304186	0.0265986	0.00105231	0.0156193	0.0514594	0.0133839	0.00476122	0.0047458	0.0258246	0.00647277	0.0254369	0.00365785	0.0222186	0.00554899	0.000803198	0.0497266	0.0169585	0.0658136	0.00554784	0.0410023	0.0022577	0.0489404	0.0125913	0.00259727	0.730766	0.269234	2.404181
288	-437.9844	-519.2432	81.25878	0.015626	0.0120553	0.0363541	0.0624871	0.00221647	0.0186375	0.0455033	0.017685	0.0232667	0.00501775	0.0033989	0.0673745	0.0502983	0.0447019	0.0185873	0.0110727	0.0116749	0.0178168	0.0411372	0.0218602	0.00416554	0.0298823	0.040811	0.0302363	0.0195413	0.0390501	0.0885847	0.0299288	0.0126345	0.0110147	0.0371293	0.0096863	0.0374466	0.0345295	0.00977078	0.00851288	0.0558844	0.172561	0.00144998	0.0803184	0.0692662	0.00324952	0.00325781	0.13714	0.014862	0.029771	0.00630276	0.0204057	0.0220037	0.017119	0.0663843	0.0129013	0.0564038	0.011633	0.0357381	0.0284428	0.00492059	0.4881529	1.511847	0.128725	0.367943	0.732034	1.36606	2.71781	7.7685	1.482347	3.097077	0.00858706	0.00662485	0.0199779	0.034339	0.00121803	0.010242	0.0250058	0.00971859	0.0127859	0.00275744	0.00186782	0.0370248	0.0276408	0.0245654	0.0102144	0.00608484	0.00641579	0.00979102	0.0226064	0.012013	0.00228912	0.0164214	0.0224272	0.016616	0.0107387	0.0214595	0.0486806	0.016447	0.00694315	0.006053	0.0204039	0.00532298	0.0205783	0.0189753	0.00536941	0.00467814	0.0307106	0.0948289	0.000796817	0.0441379	0.0380644	0.00178573	0.00179029	0.0753638	0.00816724	0.0163603	0.0034636	0.0112137	0.0120919	0.00940753	0.0364807	0.00708974	0.030996	0.00639275	0.0196394	0.0156304	0.00270405	0.755924	0.244076	1.819713
324	-438.3987	-520.1471	81.74838	0.00924235	0.00807596	0.00151797	0.0198603	0.012113	0.000257632	0.00868099	0.00160072	0.000252209	0.00833307	0.016698	0.0260282	0.0172616	0.0112929	0.00842372	0.00125523	0.00320093	0.00276941	0.0205485	0.0164406	0.00175154	0.00100687	0.0244606	0.0151165	0.00733989	0.0190358	0.060058	0.00258003	0.00360282	0.00107572	0.00572754	0.000905227	0.0327826	0.00401962	0.00356194	0.0188489	0.00456235	0.0619903	0.030882	0.0516649	0.0264233	0.000591125	0.0116135	0.0447098	0.0127722	0.0134921	0.00832736	0.0133487	0.00652393	0.0025915	0.00312418	0.019776	0.00496214	0.0394772	0.00187632	0.00431587	0.00920403	0.6212669	1.378733	0.0257063	0.167715	0.572903	1.7455	5.96249	38.901	2.647169	2.219229	0.012035	0.0105162	0.00197663	0.0258613	0.0157731	0.000335477	0.011304	0.00208439	0.000328415	0.010851	0.0217434	0.0338929	0.0224774	0.0147051	0.010969	0.0016345	0.00416812	0.00360622	0.0267573	0.0214083	0.00228079	0.0013111	0.0318516	0.019684	0.0095577	0.0247877	0.078205	0.0033596	0.00469144	0.00140076	0.00745817	0.00117875	0.0426882	0.00523419	0.00463821	0.0245442	0.0059409	0.0807212	0.0402133	0.0672759	0.0344073	0.000769739	0.0151226	0.0582193	0.0166314	0.0175689	0.0108435	0.0173821	0.00849519	0.00337454	0.00406818	0.0257515	0.00646148	0.0514056	0.00244326	0.00561995	0.0119851	0.689367	0.310633	0.7679559
